vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0.0,0.75,0.5,60000.0,0.03,0.03,1.0,1.0,0.2,0.01,0.005,50.0,10.0,0.01,0.002,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.5,0.85,0.0,57.97,58.15,100.0
0.0,0.75,0.5,60000.0,0.03,0.03,1.0,1.0,0.2,0.01,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.5,0.85,0.0,60.099999999999994,59.52,100.0
0.0,0.75,0.5,60000.0,0.03,0.03,1.0,1.0,0.2,0.01,0.005,50.0,10.0,0.005,0.002,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.5,0.85,0.0,49.61,49.07,100.0
0.0,0.75,0.5,60000.0,0.03,0.03,1.0,1.0,0.2,0.01,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.5,0.85,0.0,60.56,60.58,100.0
0.0,0.75,0.5,60000.0,0.03,0.03,1.0,1.0,0.35,0.01,0.005,50.0,10.0,0.01,0.002,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.5,0.85,0.0,56.25,55.23,100.0
