vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,3.5,0.7,0.0,51.53,54.22,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,3.5,0.7,0.0,47.75,48.56,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,30.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,3.5,0.7,0.0,57.28,56.56,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,30.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,3.5,0.7,0.0,57.18,56.24,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,3.5,0.7,0.0,62.82,63.53,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,3.5,0.7,0.0,65.27,62.76,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,70.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,3.5,0.7,0.0,71.84,71.63,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,70.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,3.5,0.7,0.0,66.08000000000001,64.71,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,100.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,3.5,0.7,0.0,72.89999999999999,68.45,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,100.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,3.5,0.7,0.0,70.83,69.04,100.0
