vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.85,0.0,65.58,67.47,100.0
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.9,0.0,72.16,70.0,100.0
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.5,0.85,0.0,65.01,65.73,100.0
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.5,0.9,0.0,67.67,66.26,100.0
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,69.66,66.97,100.0
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.9,0.0,66.72,65.82,100.0
0.0,0.75,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.85,0.0,63.7,63.63,100.0
0.0,0.75,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.9,0.0,66.62,66.43,100.0
0.0,0.75,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.5,0.85,0.0,65.75999999999999,65.27,100.0
0.0,0.75,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.5,0.9,0.0,69.85,66.98,100.0
0.0,0.75,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,67.19000000000001,65.78,100.0
0.0,0.75,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.9,0.0,69.94,67.4,100.0
