vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,accuracy,accuracy_2,seed
-0.55,1.0,0.5,60000.0,0.12,0.12,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,0.0,2.0,23.0,0.18,100.0
-0.55,1.0,0.5,60000.0,0.12,0.12,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,0.0,4.0,24.0,0.09,100.0
-0.55,1.0,0.5,60000.0,0.12,0.12,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,0.0,6.0,23.0,0.14,100.0
-0.55,1.0,0.5,60000.0,0.12,0.12,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,0.0,8.0,34.0,0.09,100.0
-0.55,1.0,0.5,60000.0,0.12,0.12,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,1.0,0.0,2.0,-3.0,0.0,2.0,16.0,0.1,100.0
-0.55,1.0,0.5,60000.0,0.12,0.12,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,1.0,0.0,2.0,-3.0,0.0,4.0,34.0,0.18,100.0
-0.55,1.0,0.5,60000.0,0.12,0.12,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,1.0,0.0,2.0,-3.0,0.0,6.0,31.0,0.11,100.0
-0.55,1.0,0.5,60000.0,0.12,0.12,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,1.0,0.0,2.0,-3.0,0.0,8.0,38.0,0.12,100.0
-0.55,1.0,0.5,60000.0,0.12,0.12,1.0,1.0,0.35,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,0.0,2.0,16.0,0.13,100.0
