vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0.0,1.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,3.0,0.9,0.0,41.39,46.08,100.0
0.0,1.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,3.0,1.1,0.0,49.13,49.24,100.0
0.0,1.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,3.0,1.2,0.0,40.54,47.5,100.0
0.0,1.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,4.0,0.9,0.0,41.4,44.63,100.0
0.0,1.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,4.0,1.1,0.0,44.15,47.13,100.0
0.0,1.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,4.0,1.2,0.0,44.45,45.61,100.0
0.0,1.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,5.0,0.9,0.0,44.55,45.58,100.0
0.0,1.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,5.0,1.1,0.0,36.57,39.58,100.0
0.0,1.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,5.0,1.2,0.0,45.1,45.71,100.0
0.0,1.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,2.0,0.9,0.0,42.35,49.12,100.0
0.0,1.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,2.0,1.1,0.0,51.559999999999995,54.58,100.0
