vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,noise_input,accuracy,accuracy_2,seed
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.15,0.005,20.0,10.0,0.002,,0.25,0.0,2.0,-2.0,2.0,2.0,0.0,7.76,11.37,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.15,0.005,20.0,10.0,0.002,,0.25,0.0,2.0,-2.0,2.0,4.0,0.0,8.59,10.72,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.15,0.005,20.0,10.0,0.002,,0.25,0.0,2.0,-2.0,3.0,2.0,0.0,5.63,11.35,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.15,0.005,20.0,10.0,0.002,,0.25,0.0,2.0,-2.0,3.0,4.0,0.0,8.0,10.39,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.15,0.005,20.0,10.0,0.002,,0.25,0.0,2.0,-2.0,4.0,2.0,0.0,5.680000000000001,11.36,100.0
