vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
-0.25,0.75,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,2.0,0.6,0.0,33.14,43.47,100.0
-0.25,0.75,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,2.0,0.7,0.0,40.57,47.71,100.0
-0.25,0.75,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,2.0,0.8,0.0,42.54,47.93,100.0
-0.25,0.75,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,3.0,0.6,0.0,46.58,49.29,100.0
-0.25,0.75,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,3.0,0.7,0.0,47.4,54.84,100.0
-0.25,0.75,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,3.0,0.8,0.0,51.78,55.45,100.0
