memoryless,win,input_connection_density,dataset,tstart,tlast,freeze_time_ms,refractory,learning_algorithm,macrocolumnShape,minicolumnShape,topology,stdp_apre,stdp_tau,wmax,wmin,winitmax,winitmin,cbf,lr_critical,connection_density,nbneurons,nbsynapses,adaptiveProb,excitatoryProb,noise,firing_rate,lda_score,lda_score_input,svm_linear_score,svm_linear_score_input,svm_rbf_score,svm_rbf_score_input,fold,seed,thr,thr_dev
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[1, 1, 1]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,32.0,84.0,1.0,0.8,0.0,16.0625,0.6916666666666667,0.72,0.7,0.725,0.7633333333333333,0.855,2.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[1, 1, 2]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,64.0,204.0,1.0,0.8,0.0,10.3046875,0.7433333333333333,0.72,0.7566666666666667,0.725,0.8283333333333334,0.855,2.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[1, 2, 2]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,128.0,430.0,1.0,0.8,0.0,16.76953125,0.7783333333333333,0.72,0.7633333333333333,0.725,0.8133333333333334,0.855,2.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[2, 2, 2]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,256.0,980.0,1.0,0.8,0.0,13.4453125,0.785,0.72,0.775,0.725,0.8233333333333334,0.855,2.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[2, 5, 1]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,320.0,1119.0,1.0,0.8,0.0,13.2953125,0.7766666666666666,0.72,0.775,0.7233333333333334,0.82,0.855,2.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[2, 2, 4]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,512.0,2102.0,1.0,0.8,0.0,16.13671875,0.705,0.72,0.715,0.7233333333333334,0.8116666666666666,0.855,2.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[2, 3, 4]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,768.0,3329.0,1.0,0.8,0.0,15.972005208333334,0.7333333333333333,0.72,0.73,0.725,0.805,0.855,2.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[2, 4, 4]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,1024.0,4558.0,1.0,0.8,0.0,20.79541015625,0.6983333333333334,0.72,0.7316666666666667,0.725,0.84,0.855,2.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[3, 4, 4]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,1536.0,7262.0,1.0,0.8,0.0,20.433268229166668,0.585,0.72,0.7416666666666667,0.725,0.815,0.855,2.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[4, 4, 4]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,2048.0,9855.0,1.0,0.8,0.0,20.416259765625,0.5566666666666666,0.72,0.77,0.725,0.8333333333333334,0.855,2.0,50.0,1.0,0.5
