vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0.0,0.05,0.5,60000.0,0.06,0.03,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.35,0.0,75.05,74.39,100.0
0.0,0.05,0.5,60000.0,0.06,0.03,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.45,0.0,76.99000000000001,76.88,100.0
0.0,0.05,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.35,0.0,68.82000000000001,66.95,100.0
0.0,0.05,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.45,0.0,74.36,72.78,100.0
0.0,0.05,0.5,60000.0,0.03,0.03,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.35,0.0,68.2,67.37,100.0
0.0,0.05,0.5,60000.0,0.03,0.03,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.45,0.0,71.78999999999999,70.47,100.0
0.0,0.05,0.5,60000.0,0.03,0.06,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.35,0.0,75.14,74.69,100.0
0.0,0.05,0.5,60000.0,0.03,0.06,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.45,0.0,76.97,76.84,100.0
0.0,0.075,0.5,60000.0,0.06,0.03,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.35,0.0,75.42999999999999,75.04,100.0
0.0,0.075,0.5,60000.0,0.06,0.03,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.45,0.0,76.42,76.0,100.0
0.0,0.075,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.35,0.0,74.41,74.06,100.0
0.0,0.075,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.45,0.0,74.33,74.5,100.0
0.0,0.075,0.5,60000.0,0.03,0.03,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.35,0.0,68.17,67.46,100.0
0.0,0.075,0.5,60000.0,0.03,0.03,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.45,0.0,74.59,74.29,100.0
0.0,0.075,0.5,60000.0,0.03,0.06,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.35,0.0,69.85,68.22,100.0
0.0,0.075,0.5,60000.0,0.03,0.06,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.45,0.0,76.02,74.39,100.0
0.0,0.025,0.5,60000.0,0.06,0.03,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.35,0.0,40.61,40.1,100.0
0.0,0.025,0.5,60000.0,0.06,0.03,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.45,0.0,50.63999999999999,50.27,100.0
