input_nbr,input_scale,tau_in,tau_out,thr_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,bias_in,seed,accuracy,accuracy_2
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,5.0,2.0,0.02,50.0,0.6762,0.6767
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,5.0,2.0,0.03,50.0,0.5215,0.522
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,5.0,2.0,0.04,50.0,0.5452,0.5459
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,5.0,5.0,0.02,50.0,0.6502,0.6482
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,5.0,5.0,0.03,50.0,0.2502,0.2544
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,5.0,5.0,0.04,50.0,0.1849,0.189
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,5.0,10.0,0.02,50.0,0.6569,0.6578
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,5.0,10.0,0.03,50.0,0.383,0.3576
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,5.0,10.0,0.04,50.0,0.324,0.2341
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,10.0,2.0,0.02,50.0,0.6811,0.6821
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,10.0,2.0,0.03,50.0,0.6276,0.628
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,10.0,2.0,0.04,50.0,0.4098,0.4096
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,10.0,5.0,0.02,50.0,0.6722,0.6737
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,10.0,5.0,0.03,50.0,0.6213,0.6209
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,10.0,5.0,0.04,50.0,0.5774,0.5781
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,10.0,10.0,0.02,50.0,0.6514,0.645
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,10.0,10.0,0.03,50.0,0.3697,0.3423
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,10.0,10.0,0.04,50.0,0.2623,0.2506
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,15.0,2.0,0.02,50.0,0.6734,0.6722
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,15.0,2.0,0.03,50.0,0.5553,0.5554
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,15.0,2.0,0.04,50.0,0.5636,0.5639
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,15.0,5.0,0.02,50.0,0.6712,0.6726
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,15.0,5.0,0.03,50.0,0.5945,0.5944
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,15.0,5.0,0.04,50.0,0.5802,0.5801
60000.0,0.004,45.0,60.0,8.0,0.0008,1.0,350.0,100.0,1.0,20.0,15.0,10.0,0.02,50.0,0.6648,0.6644
