vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,noise_input,accuracy,accuracy_2,seed
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,4.0,2.0,0.0,6.890000000000001,10.88,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,4.0,4.0,0.0,7.32,10.62,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,4.0,2.0,0.0,7.7,11.47,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,4.0,4.0,0.0,6.41,11.61,100.0
-0.55,0.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,4.0,2.0,0.0,7.5600000000000005,11.34,100.0
-0.55,0.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,4.0,4.0,0.0,7.580000000000001,10.46,100.0
-0.55,0.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,4.0,2.0,0.0,7.61,11.35,100.0
-0.55,0.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,4.0,4.0,0.0,7.01,11.07,100.0
-0.75,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,4.0,2.0,0.0,7.199999999999999,11.1,100.0
-0.75,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,4.0,4.0,0.0,7.430000000000001,10.64,100.0
-0.75,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,4.0,2.0,0.0,6.959999999999999,11.14,100.0
