vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.0001,0.005,50.0,10.0,0.002,0.002,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.85,0.0,61.44,61.58,100.0
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.0001,0.005,50.0,10.0,0.002,0.002,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.9,0.0,60.650000000000006,62.81,100.0
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.0001,0.005,50.0,10.0,0.002,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.85,0.0,60.5,63.53,100.0
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.0001,0.005,50.0,10.0,0.002,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.9,0.0,61.57,62.18,100.0
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.0001,0.005,50.0,10.0,0.002,0.01,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.85,0.0,58.599999999999994,61.98,100.0
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.0001,0.005,50.0,10.0,0.002,0.01,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.9,0.0,61.08,64.7,100.0
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.0001,0.005,50.0,10.0,0.005,0.002,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.85,0.0,61.44,61.58,100.0
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.0001,0.005,50.0,10.0,0.005,0.002,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.9,0.0,60.650000000000006,62.81,100.0
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.0001,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.85,0.0,60.5,63.53,100.0
0.0,0.5,0.5,60000.0,0.1,0.03,1.0,1.0,0.2,0.0001,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.9,0.0,61.57,62.18,100.0
