vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,2.0,0.9,0.0,49.36,50.97,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,2.0,1.0,0.0,49.02,47.66,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,2.0,1.2,0.0,51.85999999999999,54.57,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,0.9,0.0,51.339999999999996,53.45,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,1.0,0.0,52.15,52.16,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,1.2,0.0,52.01,54.58,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,4.0,0.9,0.0,54.14,52.51,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,4.0,1.0,0.0,57.04,57.91,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,4.0,1.2,0.0,49.76,50.48,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,5.0,0.9,0.0,53.1,53.04,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,5.0,1.0,0.0,54.04,53.23,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,5.0,1.2,0.0,54.400000000000006,55.29,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.5,2.0,0.9,0.0,42.4,42.79,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.5,2.0,1.0,0.0,37.669999999999995,38.31,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.5,2.0,1.2,0.0,47.980000000000004,47.99,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.5,3.0,0.9,0.0,52.080000000000005,53.07,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.5,3.0,1.0,0.0,51.300000000000004,52.4,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.5,3.0,1.2,0.0,56.02,56.66,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.5,4.0,0.9,0.0,50.24999999999999,53.66,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.5,4.0,1.0,0.0,48.78,50.66,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.5,4.0,1.2,0.0,44.01,44.55,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.5,5.0,0.9,0.0,46.32,49.21,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.5,5.0,1.0,0.0,55.71,57.02,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.5,5.0,1.2,0.0,50.27,50.56,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,2.0,2.0,0.9,0.0,42.5,44.84,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,2.0,2.0,1.0,0.0,40.98,42.69,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,2.0,2.0,1.2,0.0,40.35,42.53,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,2.0,3.0,0.9,0.0,48.66,52.01,100.0
-0.25,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,2.0,3.0,1.0,0.0,56.06,56.31,100.0
