amp_neuron,input_nbr,tau_in,tau_out,alpha_p,alpha_n,beta_p,beta_n,tau_pre,tau_post,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,gain_in,gain_out,accuracy,accuracy_2,bias_out,seed
0.01,60000.0,0.03,0.03,0.7,0.01,1.4,1.0,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,16.76,16.89,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,1.4,0.8,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,9.8,0.0,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,1.4,1.2,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,27.389999999999997,30.04,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,0.8,1.0,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,9.8,0.0,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,0.8,0.8,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,9.8,0.0,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,0.8,1.2,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,14.96,16.25,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,1.2,1.0,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,9.9,10.12,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,1.2,0.8,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,9.8,0.0,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,1.2,1.2,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,30.03,31.11,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,1.4,1.0,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,23.95,27.79,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,1.4,0.8,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,33.32,33.95,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,1.4,1.2,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,25.53,27.14,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,0.8,1.0,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,27.35,28.34,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,0.8,0.8,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,22.66,25.35,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,0.8,1.2,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,23.47,24.13,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,1.2,1.0,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,24.66,27.19,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,1.2,0.8,0.06,0.1,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,24.84,26.97,0.0,100.0
