vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0.0,1.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,2.0,0.6,0.0,38.519999999999996,44.51,100.0
0.0,1.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,2.0,0.7,0.0,41.63,41.93,100.0
0.0,1.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,2.0,0.8,0.0,49.53,52.78,100.0
0.0,1.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,3.0,0.6,0.0,33.129999999999995,34.52,100.0
0.0,1.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,3.0,0.7,0.0,41.03,42.25,100.0
0.0,1.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,3.0,0.8,0.0,36.27,40.64,100.0
0.0,1.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,4.0,0.6,0.0,38.129999999999995,38.97,100.0
0.0,1.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,4.0,0.7,0.0,35.76,37.71,100.0
0.0,1.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.0,4.0,0.8,0.0,36.559999999999995,37.86,100.0
0.0,1.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.005,20.0,10.0,0.01,,1.0,0.0,1.8,-1.8,1.5,2.0,0.6,0.0,42.57,44.47,100.0
