vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
-0.25,1.0,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.001,20.0,2.0,0.002,,1.0,0.0,1.8,-1.8,1.0,2.0,0.5,0.0,33.839999999999996,37.39,100.0
-0.25,1.0,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.001,20.0,2.0,0.002,,1.0,0.0,1.8,-1.8,1.0,2.0,0.6,0.0,27.189999999999998,30.37,100.0
-0.25,1.0,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.001,20.0,2.0,0.002,,1.0,0.0,1.8,-1.8,1.0,2.0,0.7,0.0,39.46,39.69,100.0
-0.25,1.0,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.001,20.0,2.0,0.002,,1.0,0.0,1.8,-1.8,1.0,2.0,0.8,0.0,35.79,39.04,100.0
-0.25,1.0,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.001,20.0,2.0,0.002,,1.0,0.0,1.8,-1.8,1.0,3.0,0.5,0.0,29.9,28.35,100.0
-0.25,1.0,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.001,20.0,2.0,0.002,,1.0,0.0,1.8,-1.8,1.0,3.0,0.6,0.0,35.89,35.8,100.0
-0.25,1.0,0.5,60000.0,0.03,0.06,1.0,1.0,0.2,0.0,0.001,20.0,2.0,0.002,,1.0,0.0,1.8,-1.8,1.0,3.0,0.7,0.0,31.209999999999997,35.94,100.0
