vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.002,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,74.74,74.17,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.002,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,76.57000000000001,75.75,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,75.81,75.36,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,74.49,73.43,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.01,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,74.35000000000001,74.45,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.01,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,73.21,73.72,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.002,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,74.74,74.17,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.002,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,76.57000000000001,75.75,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,75.81,75.36,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,74.49,73.43,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.01,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,74.35000000000001,74.45,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.01,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,73.21,73.72,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.002,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,71.23,70.31,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.002,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,69.88,68.99,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,73.13,72.17,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,72.24000000000001,71.31,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.01,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,71.38,70.02,100.0
0.0,0.5,0.5,60000.0,0.03,0.03,0.1,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.01,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,71.32,70.06,100.0
