vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,th_var,accuracy,accuracy_2,seed
0.0,0.5,0.5,60000.0,0.03,0.03,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.85,0.0,0.8,67.34,65.0,700.0
0.0,0.5,0.5,60000.0,0.03,0.03,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.85,0.0,0.8,65.64,65.83,800.0
0.0,0.5,0.5,60000.0,0.03,0.03,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.85,0.0,1.0,63.580000000000005,60.77,700.0
0.0,0.5,0.5,60000.0,0.03,0.03,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.01,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.85,0.0,1.0,58.230000000000004,54.69,800.0
