amp_neuron,input_nbr,tau_in,tau_out,alpha_p,alpha_n,beta_p,beta_n,tau_pre,tau_post,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,gain_in,gain_out,accuracy,accuracy_2,bias_out,seed
1.0,60000.0,0.03,0.03,0.7,0.01,1.4,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,26.97,28.05,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.01,1.4,0.8,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,26.540000000000003,27.5,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.01,1.4,1.2,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,25.31,25.64,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.01,0.8,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,22.64,23.31,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.01,0.8,0.8,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,26.040000000000003,26.48,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.01,0.8,1.2,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,26.340000000000003,26.6,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.01,1.2,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,26.58,26.83,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.01,1.2,0.8,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,26.33,26.61,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.01,1.2,1.2,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,27.089999999999996,27.47,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.005,1.4,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,26.229999999999997,26.45,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.005,1.4,0.8,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,23.580000000000002,24.58,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.005,1.4,1.2,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,30.240000000000002,30.93,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.005,0.8,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,23.75,24.19,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.005,0.8,0.8,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,19.71,19.82,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.005,0.8,1.2,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,29.73,30.25,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.005,1.2,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,24.98,25.15,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.005,1.2,0.8,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,24.22,24.28,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.005,1.2,1.2,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,26.889999999999997,27.24,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.02,1.4,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,21.38,24.75,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.02,1.4,0.8,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,25.590000000000003,29.31,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.02,1.4,1.2,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,27.450000000000003,27.41,0.0,100.0
1.0,60000.0,0.03,0.03,0.7,0.02,0.8,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,22.96,24.35,0.0,100.0
