vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0.0,0.1,0.5,60000.0,0.02,0.09,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,4.0,0.5,0.0,74.57000000000001,74.14,100.0
0.0,0.1,0.5,60000.0,0.02,0.09,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.005,0.002,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,4.0,0.5,0.0,76.21,75.95,100.0
0.0,0.1,0.5,60000.0,0.02,0.09,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.005,0.01,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,4.0,0.5,0.0,73.65,73.64,100.0
0.0,0.1,0.5,60000.0,0.02,0.09,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.002,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,4.0,0.5,0.0,59.98,59.84,100.0
0.0,0.1,0.5,60000.0,0.02,0.09,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.002,0.002,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,4.0,0.5,0.0,66.72,66.45,100.0
