vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,noise_input,accuracy,accuracy_2,seed
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,2.0,2.0,0.0,6.88,10.99,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,2.0,4.0,0.0,7.46,10.23,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,2.0,2.0,0.0,7.829999999999999,10.56,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,2.0,4.0,0.0,7.86,10.65,100.0
-0.55,0.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,2.0,2.0,0.0,7.580000000000001,11.35,100.0
-0.55,0.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,2.0,4.0,0.0,6.69,10.44,100.0
-0.55,0.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,2.0,2.0,0.0,7.6,11.35,100.0
-0.55,0.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,2.0,4.0,0.0,5.319999999999999,11.36,100.0
-0.75,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,2.0,2.0,0.0,7.180000000000001,10.98,100.0
-0.75,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,2.0,4.0,0.0,6.58,10.96,100.0
-0.75,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,2.0,2.0,0.0,6.77,11.88,100.0
