vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0.0,0.1,0.5,60000.0,0.02,0.09,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.5,0.0,77.35,77.01,100.0
0.0,0.1,0.5,60000.0,0.02,0.09,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.5,0.55,0.0,79.67999999999999,79.44,100.0
0.0,0.1,0.5,60000.0,0.02,0.09,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.25,0.5,0.0,76.36,75.71,100.0
0.0,0.1,0.5,60000.0,0.02,0.09,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.25,0.55,0.0,78.58000000000001,78.41,100.0
0.0,0.1,0.5,60000.0,0.02,0.09,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.75,0.5,0.0,75.74,75.52,100.0
0.0,0.1,0.5,60000.0,0.02,0.09,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.005,1.0,0.0,1.8,-1.5,1.0,3.75,0.55,0.0,77.86,77.78,100.0
