vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,noise_input,accuracy,accuracy_2,seed
-0.55,1.0,0.5,60000.0,0.3,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,1.0,2.0,0.0,6.4399999999999995,14.88,100.0
-0.55,1.0,0.5,60000.0,0.3,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,1.0,4.0,0.0,7.539999999999999,13.72,100.0
-0.55,1.0,0.5,60000.0,0.3,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,1.0,2.0,0.0,6.4399999999999995,15.19,100.0
-0.55,1.0,0.5,60000.0,0.3,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,1.0,4.0,0.0,8.17,14.34,100.0
-0.55,0.5,0.5,60000.0,0.3,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,1.0,2.0,0.0,6.43,14.87,100.0
-0.55,0.5,0.5,60000.0,0.3,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,1.0,4.0,0.0,7.3999999999999995,13.48,100.0
-0.55,0.5,0.5,60000.0,0.3,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,1.0,2.0,0.0,6.4,15.36,100.0
-0.55,0.5,0.5,60000.0,0.3,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,1.0,4.0,0.0,6.8500000000000005,14.52,100.0
-0.75,1.0,0.5,60000.0,0.3,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,1.0,2.0,0.0,6.4399999999999995,14.88,100.0
-0.75,1.0,0.5,60000.0,0.3,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,1.0,4.0,0.0,7.6899999999999995,13.38,100.0
-0.75,1.0,0.5,60000.0,0.3,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,1.0,2.0,0.0,6.4399999999999995,15.19,100.0
