memoryless,win,input_connection_density,dataset,tstart,tlast,freeze_time_ms,refractory,learning_algorithm,macrocolumnShape,minicolumnShape,topology,stdp_apre,stdp_tau,wmax,wmin,winitmax,winitmin,cbf,lr_critical,connection_density,nbneurons,nbsynapses,adaptiveProb,excitatoryProb,noise,firing_rate,lda_score,lda_score_input,svm_linear_score,svm_linear_score_input,svm_rbf_score,svm_rbf_score_input,fold,seed,thr,thr_dev
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[1, 1, 1]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,32.0,84.0,1.0,0.8,0.0,15.609375,0.74,0.75,0.7383333333333333,0.755,0.8116666666666666,0.8616666666666667,3.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[1, 1, 2]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,64.0,204.0,1.0,0.8,0.0,9.3125,0.7666666666666667,0.75,0.7733333333333333,0.755,0.8066666666666666,0.8616666666666667,3.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[1, 2, 2]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,128.0,430.0,1.0,0.8,0.0,15.85546875,0.7566666666666667,0.75,0.7583333333333333,0.755,0.795,0.8616666666666667,3.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[2, 2, 2]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,256.0,980.0,1.0,0.8,0.0,12.765625,0.7666666666666667,0.75,0.7566666666666667,0.755,0.83,0.8616666666666667,3.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[2, 5, 1]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,320.0,1119.0,1.0,0.8,0.0,12.425,0.7533333333333333,0.75,0.775,0.755,0.8266666666666667,0.8616666666666667,3.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[2, 2, 4]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,512.0,2102.0,1.0,0.8,0.0,15.234375,0.7166666666666667,0.75,0.735,0.755,0.8216666666666667,0.8616666666666667,3.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[2, 3, 4]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,768.0,3329.0,1.0,0.8,0.0,14.845703125,0.7216666666666667,0.75,0.7133333333333334,0.755,0.8183333333333334,0.8616666666666667,3.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[2, 4, 4]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,1024.0,4558.0,1.0,0.8,0.0,19.5478515625,0.7083333333333334,0.75,0.7433333333333333,0.755,0.8283333333333334,0.8616666666666667,3.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[3, 4, 4]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,1536.0,7262.0,1.0,0.8,0.0,19.065104166666668,0.5866666666666667,0.75,0.765,0.755,0.8333333333333334,0.8616666666666667,3.0,50.0,1.0,0.5
1.0,1.0 * rand(),0.15,roshambo,600.0,1200.0,0.0,1.0,None,"[4, 4, 4]","[4, 4, 2]",small-world,0.001,25.0,1.0,0.01,0.25,0.0,1.0,0.1,0.1,2048.0,9855.0,1.0,0.8,0.0,19.34228515625,0.41333333333333333,0.75,0.7583333333333333,0.755,0.84,0.8616666666666667,3.0,50.0,1.0,0.5
